Datasource:,https://walmart-open-data-walmarttech.opendata.arcgis.com/maps/walmarttech::walmart-store-status-web-map/about,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OID_,businessunit_name,businessunit_number,businessunit_banner_description,businessunit_type_description,businessunit_isstoreopen,facilitydetails_location_locati,facilitydetails_location_loca_1,facilitydetails_location_loca_2,facilitydetails_location_loca_3,facilitydetails_location_loca_8,businessunit_status_code,op_status,Modified_Operating_Hours_,Pharmacy_open_to_public_,Fuel_Station_open_to_public_,bu_num,Grocery_delivery_service,Grocery_delivery_status,Online_grocery_pickup,Online_grocery_pickup_status
18245,"ATLANTA, TX.",226,WM Supercenter,Retail,1,201 LOOP 59,ATLANTA,CASS,TX,75551-2011,5,Open,,Y,Y,226,No,,No,
18247,"NORTH KINGSTOWN, RI",2261,WM Supercenter,Retail,1,1031 TEN ROD RD,NORTH KINGSTOWN,WASHINGTON,RI,02852-4125,5,Open,,Y,Y,2261,No,,No,Available
18248,"ONEONTA, NY",2262,WM Supercenter,Retail,1,5054 STATE HIGHWAY 23,ONEONTA,OTSEGO,NY,13820-3506,2,Open,,Y,Y,2262,No,Available,No,Available
18249,"POTTSTOWN, PA",2263,WM Supercenter,Retail,1,233 SHOEMAKER RD,POTTSTOWN,MONTGOMERY,PA,19464-6441,5,Open,,Y,Y,2263,Yes,Available,No,Not Available
18250,"ROTTERDAM, NY",2264,Wal-Mart,Retail,1,1320 ALTAMONT AVE,SCHENECTADY,SCHENECTADY,NY,12303-2918,2,Open,,Y,Y,2264,Yes,,Yes,
18251,"SIMPSONVILLE, SC",2265,WM Supercenter,Retail,1,3950 GRANDVIEW DR,SIMPSONVILLE,GREENVILLE,SC,29680-3163,5,Open,,Y,Y,2265,No,Available,Yes,Available
18252,"CLEVELAND, OH",2266,WM Supercenter,Retail,1,8585 PEARL RD,STRONGSVILLE,CUYAHOGA,OH,44136-1641,5,Open,,Y,Y,2266,No,Available,No,Available
18253,"WEST BOLYSTON, MA",2267,Wal-Mart,Retail,1,137 W BOYLSTON ST,WEST BOYLSTON,WORCESTER,MA,01583-1713,2,Open,,Y,Y,2267,No,,Yes,
18255,"YAKIMA, WA",2269,WM Supercenter,Retail,1,1600 E CHESTNUT AVE,YAKIMA,YAKIMA,WA,98901-2174,5,Open,,Y,Y,2269,No,Available,No,Available
18256,EL RENO OK.,227,WM Supercenter,Retail,1,2400 S COUNTRY CLUB RD,EL RENO,CANADIAN,OK,73036-5801,5,Open,,Y,Y,227,No,Not Available,No,Not Available
18257,"DURANGO, CO",2270,WM Supercenter,Retail,1,1155 S CAMINO DEL RIO,DURANGO,LA PLATA,CO,81303-6698,2,Open,,Y,Y,2270,No,,Yes,Available
18258,"SHAWANO, WI",2271,WM Supercenter,Retail,1,1244 EAST GREEN BAY,SHAWANO,SHAWANO,WI,54166-2208,5,Open,,Y,Y,2271,No,,No,Available
18259,"CAMBRIDGE, MD",2272,WM Supercenter,Retail,1,2775 DORCHESTER SQ,CAMBRIDGE,DORCHESTER,MD,21613-6400,5,Open,,Y,Y,2272,No,,No,Available
18260,"BURTON, MI",2273,WM Supercenter,Retail,1,5323 E COURT ST N,BURTON,GENESEE,MI,48509-1539,5,Open,,Y,Y,2273,Yes,Available,Yes,Available
18261,"FOREST LAKE, MN",2274,WM Supercenter,Retail,1,200 12TH ST SW,FOREST LAKE,WASHINGTON,MN,55025-1482,5,Open,,Y,Y,2274,No,Available,No,Available
18262,"OXFORD, OH",2275,WM Supercenter,Retail,1,5720 COLLEGE CORNER PIKE,OXFORD,BUTLER,OH,45056-1178,5,Open,,Y,Y,2275,Yes,Available,Yes,Available
18263,"LA PORTE, IN",2276,WM Supercenter,Retail,1,333 BOYD BLVD,LA PORTE,LA PORTE,IN,46350-3965,5,Open,,Y,Y,2276,No,,No,Available
18264,"CLOVIS, CA",2277,WM Supercenter,Retail,1,323 W SHAW AVE,CLOVIS,FRESNO,CA,93612-3604,5,Open,,Y,Y,2277,No,,Yes,Not Available
18265,ERIE (S) PA,2278,WM Supercenter,Retail,1,1825 DOWNS DR,ERIE,ERIE,PA,16509-7303,5,Open,,Y,Y,2278,No,Available,No,Available
18266,"GLEN BURNIE (N), MD",2279,WM Supercenter,Retail,1,6721 CHESAPEAKE CENTER DR,GLEN BURNIE,ANNE ARUNDEL,MD,21060-6572,5,Open,,Y,Y,2279,No,Available,Yes,Available
18267,CLEBURNE TX.,228,WM Supercenter,Retail,1,1616 W HENDERSON ST,CLEBURNE,JOHNSON,TX,76033-4123,5,Open,,Y,Y,228,No,,Yes,Not Available
18268,"MOUNTAIN VIEW , CA",2280,Wal-Mart,Retail,1,600 SHOWERS DR,MOUNTAIN VIEW,SANTA CLARA,CA,94040-1434,2,Open,,Y,Y,2280,No,,Yes,Available
18269,"WEST MIFFLIN, PA",2281,WM Supercenter,Retail,1,2351 CENTURY DR,WEST MIFFLIN,ALLEGHENY,PA,15122-2430,5,Open,,Y,Y,2281,No,Available,No,Not Available
18270,"EAST WINDSOR, CT",2282,WM Supercenter,Retail,1,44 PROSPECT HILL ROAD,EAST WINDSOR,HARTFORD,CT,06088-9501,5,Open,,Y,Y,2282,No,Available,No,Available
18271,"COVENTRY, RI",2283,WM Supercenter,Retail,1,650 CENTRE OF NEW ENGLAND BLVD,COVENTRY,KENT,RI,02816-6081,5,Open,,Y,Y,2283,Yes,Available,Yes,Available
18272,"NAUGATUCK, CT",2284,WM Supercenter,Retail,1,1100 NEW HAVEN RD,NAUGATUCK,NEW HAVEN,CT,06770-5016,5,Open,,Y,Y,2284,No,Available,Yes,Available
18273,"HERKIMER, NY",2285,WM Supercenter,Retail,1,103 N CAROLINE ST,HERKIMER,HERKIMER,NY,13350-1716,2,Open,,Y,Y,2285,No,Not Available,No,Not Available
18274,"CENTEREACH (LI), NY",2286,Wal-Mart,Retail,1,161 CENTEREACH MALL,CENTEREACH,SUFFOLK,NY,11720-2750,2,Open,,Y,Y,2286,No,,No,
18275,"NEW CASTLE, PA",2287,WM Supercenter,Retail,1,2501 W STATE ST,NEW CASTLE,LAWRENCE,PA,16101-1039,2,Open,,Y,Y,2287,No,Available,No,Available
18276,"POMONA, CA",2288,Wal-Mart,Retail,1,80 RIO RANCHO RD,POMONA,LOS ANGELES,CA,91766-4771,2,Open,,Y,Y,2288,No,,Yes,
18277,"BENNINGTON, VT EF",2289,WM Supercenter,Retail,1,212 NORTHSIDE DR,BENNINGTON,BENNINGTON,VT,05201-1723,5,Open,,Y,Y,2289,No,,No,Available
18278,TRUMANN AR.,229,WM Supercenter,Retail,1,512 INDUSTRIAL PARK DR,TRUMANN,POINSETT,AR,72472-9602,5,Open,,Y,Y,229,No,,No,
18279,"OWINGS MILLS, MD",2290,Wal-Mart,Retail,1,9750 REISTERTOWN ROAD A,OWINGS MILLS,BALTIMORE,MD,21117-4147,2,Open,,Y,Y,2290,No,,No,
18280,CHULA VISTA (W) CA,2291,Wal-Mart,Retail,1,75 NORTH BROADWAY,CHULA VISTA,SAN DIEGO,CA,91910-1417,2,Open,,Y,Y,2291,No,,No,
18281,"COVINA, CA",2292,WM Supercenter,Retail,1,1275 N AZUSA AVE,COVINA,LOS ANGELES,CA,91722-1246,5,Open,,Y,Y,2292,No,Available,No,Available
18282,"GOLDEN, CO",2293,WM Supercenter,Retail,1,952 SWEDE GULCH RD,EVERGREEN,JEFFERSON,CO,80439-3713,5,Open,,Y,Y,2293,No,,No,Not Available
18283,"FLEMINGTON, NJ",2294,WM Supercenter,Retail,1,152 ROUTE 31 NORTH,FLEMINGTON,HUNTERDON,NJ,08822-5734,2,Open,,Y,Y,2294,No,,No,
18284,"RICHMOND, VA",2295,WM Supercenter,Retail,1,7901 BROOK RD,RICHMOND,HENRICO,VA,23227-1336,2,Open,,Y,Y,2295,No,Available,Yes,Available
18286,"STEVENSON RANCH, CA",2297,Wal-Mart,Retail,1,25450 THE OLD RD,STEVENSON RANCH,LOS ANGELES,CA,91381-1704,2,Open,,Y,Y,2297,No,,No,
18288,"CROMWELL, CT",2299,WM Supercenter,Retail,1,161 BERLIN RD,CROMWELL,MIDDLESEX,CT,06416-1021,5,Open,,Y,Y,2299,No,Available,Yes,Available
18289,RUSTON LA,23,WM Supercenter,Retail,1,1201 N SERVICE RD E,RUSTON,LINCOLN,LA,71270-2917,5,Open,,Y,Y,23,No,,No,Available
18290,PARIS AR.,230,Wal-Mart,Retail,1,1501 E WALNUT ST,PARIS,LOGAN,AR,72855-4235,5,Open,,Y,Y,230,No,,No,
18291,"PITTSBURGH (W), PA",2300,WM Supercenter,Retail,1,250 SUMMIT PARK DR,PITTSBURGH,ALLEGHENY,PA,15275-1202,5,Open,,Y,Y,2300,No,Available,No,Available
18293,SUPERCENTER BARCELONETA,2302,WM Supercenter,Retail,1,CARR. #2 KM. 56.6,BARCELONETA,BARCELONETA,PR,00617-0000,2,Open,,Y,Y,2302,,,,
18297,"NORTHPORT, AL",2306,WM Supercenter,Retail,1,5710 MCFARLAND BLVD,NORTHPORT,TUSCALOOSA,AL,35476-3539,5,Open,,Y,Y,2306,No,Available,Yes,Available
18298,"SOUTH JORDAN, UT",2307,WM Supercenter,Retail,1,11328 S JORDAN GTWY,SOUTH JORDAN,SALT LAKE,UT,84095-4112,5,Open,,Y,Y,2307,No,Available,No,Available
18299,"LIHUE, HI",2308,Wal-Mart,Retail,1,3-3300 KUHIO HWY,LIHUE,KAUAI,HI,96766-1009,2,Open,,Y,Y,2308,,,,
18300,"WEST CHESTER, OH",2309,WM Supercenter,Retail,1,8288 CINCINNATI DAYTON RD,WEST CHESTER,BUTLER,OH,45069-2143,5,Open,,Y,Y,2309,No,Available,Yes,Available
18301,ADA OK.,231,WM Supercenter,Retail,1,1419 N COUNTRY CLUB RD,ADA,PONTOTOC,OK,74820-1836,5,Open,,Y,Y,231,No,,Yes,Available
18302,"KNOXVILLE (E), TN",2310,WM Supercenter,Retail,1,3051 KINZEL WAY,KNOXVILLE,KNOX,TN,37924-2190,5,Open,,Y,Y,2310,No,Available,Yes,Available
18303,"HUNTINGTON, IN",2311,WM Supercenter,Retail,1,2800 WAL MART DR,HUNTINGTON,HUNTINGTON,IN,46750-7977,5,Open,,Y,Y,2311,No,,No,Available
18304,"ROANOKE (N), VA",2312,WM Supercenter,Retail,1,4807 VALLEY VIEW BLVD NW,ROANOKE,ROANOKE CITY,VA,24012-2018,2,Open,,Y,Y,2312,No,Not Available,Yes,Not Available
18305,"STREETSBORO, OH",2313,WM Supercenter,Retail,1,905 SINGLETARY DR,STREETSBORO,PORTAGE,OH,44241-3975,5,Open,,Y,Y,2313,No,Available,No,Available
18306,"WAIPAHU, HI",2314,Wal-Mart,Retail,1,94-595 KUPUOHI ST,WAIPAHU,HONOLULU,HI,96797-1155,2,Open,,Y,Y,2314,,,,
18307,"DALLAS, OR",2315,Wal-Mart,Retail,1,321 NE KINGS VALLEY HWY,DALLAS,POLK,OR,97338-9702,2,Open,,Y,Y,2315,No,,Yes,
18308,"NORTH OLMSTED, OH",2316,WM Supercenter,Retail,1,24801 BROOKPARK RD,NORTH OLMSTED,CUYAHOGA,OH,44070-3487,5,Open,,Y,Y,2316,No,Available,No,
18309,"BREMERTON, WA",2317,Wal-Mart,Retail,1,6797 STATE HIGHWAY 303 NE,BREMERTON,KITSAP,WA,98311-3736,2,Open,,Y,Y,2317,No,Not Available,No,Not Available
18310,"INDIANA, PA",2318,WM Supercenter,Retail,1,3100 OAKLAND AVE,INDIANA,INDIANA,PA,15701-3240,2,Open,,Y,Y,2318,No,,Yes,Not Available
18311,"OAK HARBOR, WA",2319,Wal-Mart,Retail,1,1250 SW ERIE ST,OAK HARBOR,ISLAND,WA,98277-3103,2,Open,,Y,Y,2319,No,,Yes,
18312,ATOKA OK.,232,Wal-Mart,Retail,1,1983 S MISSISSIPPI AVE,ATOKA,ATOKA,OK,74525-3629,5,Open,,Y,Y,232,No,Not Available,No,Not Available
18313,"COTTAGE GROVE, OR",2320,WM Supercenter,Retail,1,901 ROW RIVER RD,COTTAGE GROVE,LANE,OR,97424-9558,5,Open,,Y,Y,2320,No,,Yes,
18314,"KAILUA KONA, HI",2321,Wal-Mart,Retail,1,75-1015 HENRY ST,KAILUA KONA,HAWAII,HI,96740-1681,2,Open,,Y,Y,2321,,,Yes,
18315,"GERMANTOWN, TN",2322,WM Supercenter,Retail,1,577 N GERMANTOWN PKWY,CORDOVA,SHELBY,TN,38018-6211,5,Open,,Y,Y,2322,No,Available,No,Available
18316,"STOW, OH",2323,WM Supercenter,Retail,1,3520 HUDSON DR,STOW,SUMMIT,OH,44224-2907,5,Open,,Y,Y,2323,No,Not Available,Yes,Not Available
18318,"PORT ORCHARD, WA",2325,WM Supercenter,Retail,1,3497 BETHEL RD SE,PORT ORCHARD,KITSAP,WA,98366-5634,5,Open,,Y,Y,2325,No,Available,No,Available
18319,"HORNELL, NY",2326,Wal-Mart,Retail,1,1000 STATE ROUTE 36,HORNELL,STEUBEN,NY,14843-9323,2,Open,,Y,Y,2326,No,,No,
18321,GREENVILLE WADE HAMPTON SC,2328,Neighborhood Market,Retail,1,2014 WADE HAMPTON BLVD,GREENVILLE,GREENVILLE,SC,29615-0000,2,Open,,Y,Y,2328,Yes,Available,Yes,Available
18322,"ORANGE, MA",2329,WM Supercenter,Retail,1,555 E MAIN ST,ORANGE,WORCESTER,MA,01364-9515,5,Open,,Y,Y,2329,No,Available,No,Available
18323,"ANNA, IL.",233,WM Supercenter,Retail,1,300 LEIGH AVE,ANNA,UNION,IL,62906-2213,5,Open,,Y,Y,233,No,,No,
18324,"ROCHESTER, NH",2330,WM Supercenter,Retail,1,116 FARMINGTON RD,ROCHESTER,STRAFFORD,NH,03867-4352,5,Open,,Y,Y,2330,No,Available,No,Available
18325,"WATERFORD, CT",2331,WM Supercenter,Retail,1,155 WATERFORD PARKWAY NO.,WATERFORD,NEW LONDON,CT,06385-1208,5,Open,,Y,Y,2331,No,Not Available,No,Not Available
18326,"ST. ALBANS, VT",2332,Wal-Mart,Retail,1,700 TUCKERS WAY,SAINT ALBANS,FRANKLIN,VT,05478-2628,2,Open,,Y,Y,2332,No,,No,
18327,APPLE VALLEY CA,2333,Wal-Mart,Retail,1,20251 HWY 18,APPLE VALLEY,SAN BERNARDINO,CA,92307-2953,2,Open,,Y,Y,2333,No,,No,
18328,"LANCASTER, PA",2334,WM Supercenter,Retail,1,2034 LINCOLN HWY E,LANCASTER,LANCASTER,PA,17602-3329,2,Open,,Y,Y,2334,No,Available,No,Available
18329,"MADISON, WI (E)",2335,WM Supercenter,Retail,1,4198 NAKOOSA TRL,MADISON,DANE,WI,53714-1362,5,Open,,Y,Y,2335,No,Available,No,Available
18330,"PLYMOUTH, MA",2336,WM Supercenter,Retail,1,300 COLONY PLACE RD,PLYMOUTH,PLYMOUTH,MA,02360-7235,5,Open,,Y,Y,2336,No,Available,No,Available
18331,"ROCKY MOUNT, VA",2337,WM Supercenter,Retail,1,550 OLD FRANKLIN TPKE,ROCKY MOUNT,FRANKLIN,VA,24151-5504,2,Open,,Y,Y,2337,No,,Yes,
18332,"TRAVERSE CITY, MI",2338,WM Supercenter,Retail,1,2640 CROSSING CIR,TRAVERSE CITY,GRAND TRAVERSE,MI,49684-7930,5,Open,,Y,Y,2338,No,,No,
18333,"WEST LAFAYETTE, IN",2339,WM Supercenter,Retail,1,2801 NORTHWESTERN AVE,WEST LAFAYETTE,TIPPECANOE,IN,47906-6816,5,Open,,Y,Y,2339,No,Not Available,No,Available
18334,"KANSAS CITY, MO.",234,WM Supercenter,Retail,1,8301 N CHURCH RD,KANSAS CITY,CLAY,MO,64158-1106,5,Open,,Y,Y,234,No,Available,No,Available
18335,"EPHRATA, PA",2340,WM Supercenter,Retail,1,890 E MAIN ST,EPHRATA,LANCASTER,PA,17522-2562,2,Open,,Y,Y,2340,No,Available,Yes,Available
18336,"QUINCY, MA",2341,Wal-Mart,Retail,1,301 FALLS BLVD,QUINCY,NORFOLK,MA,02169-8160,2,Open,,Y,Y,2341,Yes,Available,Yes,Available
18340,SUPERCENTER TOA BAJA,2346,WM Supercenter,Retail,1,CARR #2 SECTOR LA VIRGENCITA INTER,TOA BAJA,AGUAS BUENAS,PR,00949-0000,2,Open,,Y,Y,2346,,,,
18342,"JAMES ISLAND, SC",2348,WM Supercenter,Retail,1,1231 FOLLY RD,CHARLESTON,CHARLESTON,SC,29412-4105,5,Open,,Y,Y,2348,No,,No,Available
18345,"WAUSEON, OH",2350,WM Supercenter,Retail,1,485 AIRPORT HWY,WAUSEON,FULTON,OH,43567-8709,5,Open,,Y,Y,2350,No,,Yes,Available
18346,"CATSKILL, NY",2351,WM Supercenter,Retail,1,30 CATSKILL CMNS,CATSKILL,GREENE,NY,12414-1755,2,Open,,Y,Y,2351,No,,Yes,Available
18347,"CAMBRIDGE, MN",2352,WM Supercenter,Retail,1,2101 2ND AVE SE,CAMBRIDGE,ISANTI,MN,55008-4137,5,Open,,Y,Y,2352,No,,Yes,Available
18349,"ROCHESTER HILLS, MI",2354,WM Supercenter,Retail,1,2500 S ADAMS RD,ROCHESTER HILLS,OAKLAND,MI,48309-5508,5,Open,,Y,Y,2354,No,Available,No,Available
18350,"CLARENCE, NY",2355,WM Supercenter,Retail,1,5033 TRANSIT RD,WILLIAMSVILLE,ERIE,NY,14221-4132,5,Open,,Y,Y,2355,No,Available,Yes,Available
18352,"GERMANTOWN, MD",2357,WM Supercenter,Retail,1,20910 FREDERICK RD,GERMANTOWN,MONTGOMERY,MD,20876-4134,5,Open,,Y,Y,2357,No,,No,
18353,"ALPENA, MI",2358,WM Supercenter,Retail,1,1180 M 32 W,ALPENA,ALPENA,MI,49707-8105,5,Open,,Y,Y,2358,No,,Yes,Available
18354,"ASHTABULA, OH",2359,WM Supercenter,Retail,1,3551 N RIDGE RD E,ASHTABULA,ASHTABULA,OH,44004-4313,5,Open,,Y,Y,2359,No,Available,Yes,Available
18355,CROCKETT TX.,236,WM Supercenter,Retail,1,1225 E LOOP 304,CROCKETT,HOUSTON,TX,75835-1807,5,Open,,Y,Y,236,No,,No,
18356,"ATLANTA (N), GA",2360,WM Supercenter,Retail,1,4725 ASHFORD DUNWOODY RD,DUNWOODY,DEKALB,GA,30338-5561,5,Open,,Y,Y,2360,No,Not Available,Yes,Not Available
18357,"NORTH CANTON, OH",2361,Wal-Mart,Retail,1,4572 MEGA ST NW,NORTH CANTON,STARK,OH,44720-7098,2,Open,,Y,Y,2361,No,,Yes,
18358,"CLEVELAND HEIGHTS, OH",2362,WM Supercenter,Retail,1,1868 WARRENSVILLE CENTER RD,SOUTH EUCLID,CUYAHOGA,OH,44121-2686,5,Open,,Y,Y,2362,No,Available,Yes,Available
18361,"MT POCONO, PA",2365,WM Supercenter,Retail,1,3271 ROUTE 940,MOUNT POCONO,MONROE,PA,18344-1329,2,Open,,Y,Y,2365,No,,Yes,Available
18362,"NORTH ATTLEBORO, MA",2366,WM Supercenter,Retail,1,1470 S WASHINGTON ST,NORTH ATTLEBORO,BRISTOL,MA,02760-4417,5,Open,,Y,Y,2366,No,Available,Yes,Available
18363,"PINE CITY, MN",2367,WM Supercenter,Retail,1,950 11TH ST SW,PINE CITY,PINE,MN,55063-2113,5,Open,,Y,Y,2367,No,,No,Available
18364,"E STROUDSBURG, PA",2368,WM Supercenter,Retail,1,355 LINCOLN AVE,EAST STROUDSBURG,MONROE,PA,18301-2814,2,Open,,Y,Y,2368,Yes,Available,Yes,Available
18365,"TILTON, NH",2369,WM Supercenter,Retail,1,33 SHERWOOD DRIVE,TILTON,BELKNAP,NH,03276-5783,5,Open,,Y,Y,2369,No,,No,Not Available
18366,HARRISBURG IL.,237,WM Supercenter,Retail,1,710 S COMMERCIAL ST,HARRISBURG,SALINE,IL,62946-2346,5,Open,,Y,Y,237,No,,No,Available
18367,"TROY, NY",2370,WM Supercenter,Retail,1,760 HOOSICK RD,TROY,RENSSELAER,NY,12180-6697,5,Open,,Y,Y,2370,No,,No,
18368,"WALLINGFORD, CT",2371,WM Supercenter,Retail,1,844 N COLONY RD,WALLINGFORD,NEW HAVEN,CT,06492-2410,5,Open,,Y,Y,2371,No,,No,
18370,"WARWICK, RI",2373,Wal-Mart,Retail,1,840 POST RD,WARWICK,KENT,RI,02888-3365,2,Open,,Y,Y,2373,No,,No,
18377,PULASKI TN.,238,WM Supercenter,Retail,1,1655 W COLLEGE ST,PULASKI,GILES,TN,38478-5207,5,Open,,Y,Y,238,No,,Yes,
18383,"AUBURN, WA",2385,WM Supercenter,Retail,1,762 OUTLET COLLECTION WAY,AUBURN,KING,WA,98001-6582,5,Open,,Y,Y,2385,No,Available,No,Available
18384,"WARE, MA",2386,WM Supercenter,Retail,1,352 PALMER RD,WARE,HAMPSHIRE,MA,01082-9740,5,Open,,Y,Y,2386,No,Available,No,Available
18385,"BRANDON, (W) FL",2387,WM Supercenter,Retail,1,11110 CAUSEWAY BLVD,BRANDON,HILLSBOROUGH,FL,33511-2900,5,Open,,Y,Y,2387,No,Not Available,No,Not Available
18386,"PORTLAND, IN",2388,WM Supercenter,Retail,1,950 W VOTAW ST,PORTLAND,JAY,IN,47371-1254,5,Open,,Y,Y,2388,No,,No,Available
18388,"KOSCIUSKO, MS.",239,WM Supercenter,Retail,1,220 VETERANS MEMORIAL DR,KOSCIUSKO,ATTALA,MS,39090-3848,5,Open,,Y,Y,239,No,,Yes,
18390,PORT RICHEY FL,2391,Neighborhood Market,Retail,1,8745 LITTLE ROAD,NEW PORT RICHEY,PASCO,FL,34654-0000,2,Open,,Y,Y,2391,No,,No,
18391,SARASOTA BEE RIDGE & BENEVA FL,2392,Neighborhood Market,Retail,1,3560 BEE RIDGE RD,SARASOTA,SARASOTA,FL,34239-7233,2,Open,,Y,Y,2392,No,,Yes,
18392,"MOORE (E), OK",2393,Neighborhood Market,Retail,1,640 SE 4TH ST,MOORE,CLEVELAND,OK,73160-6733,2,Open,,Y,Y,2393,No,,No,Available
18393,"OKLAHOMA CITY (C), OK",2394,Neighborhood Market,Retail,1,1500 SW 59TH ST,OKLAHOMA CITY,OKLAHOMA,OK,73119-7214,2,Open,,Y,Y,2394,No,,Yes,Available
18394,TULSA (RIVER),2395,Neighborhood Market,Retail,1,9411 S DELAWARE AVE,TULSA,TULSA,OK,74137-5614,2,Open,,Y,Y,2395,No,,No,Available
18395,BOYNTON BEACH FL,2396,Neighborhood Market,Retail,1,12700 S MILITARY TRL,BOYNTON BEACH,PALM BEACH,FL,33436-6139,2,Open,,Y,Y,2396,No,,No,
18396,"MANSFIELD, TX",2397,Neighborhood Market,Retail,1,2951 MATLOCK RD,MANSFIELD,TARRANT,TX,76063-5020,2,Open,,Y,Y,2397,No,,No,Available
18397,"NEWINGTON, NH",2398,Wal-Mart,Retail,1,2200 WOODBURY AVE,NEWINGTON,ROCKINGHAM,NH,03801-2817,2,Open,,Y,Y,2398,No,,No,
18398,"MANCHESTER, NH",2399,WM Supercenter,Retail,1,725 GOLD ST,MANCHESTER,HILLSBOROUGH,NH,03103-4008,5,Open,,Y,Y,2399,No,Available,No,Available
18399,JACKSONVILLE AR,24,WM Supercenter,Retail,1,2000 JOHN HARDEN DR,JACKSONVILLE,PULASKI,AR,72076-2730,5,Open,,Y,Y,24,No,Not Available,No,Not Available
18400,COMMERCE TX.,240,WM Supercenter,Retail,1,2701 STATE HIGHWAY 50,COMMERCE,HUNT,TX,75428-2830,5,Open,,Y,Y,240,No,,Yes,Available
18401,"CHILLICOTHE, OH",2400,WM Supercenter,Retail,1,85 RIVER TRACE LANE,CHILLICOTHE,ROSS,OH,45601-2686,5,Open,,Y,Y,2400,No,,No,Available
18402,"DUARTE, CA",2401,Wal-Mart,Retail,1,1600 MOUNTAIN AVE,DUARTE,LOS ANGELES,CA,91010-2757,2,Open,,Y,Y,2401,No,,No,
18403,"ELKO, NV",2402,WM Supercenter,Retail,1,2944 MOUNTAIN CITY HWY,ELKO,ELKO,NV,89801-4495,5,Open,,Y,Y,2402,No,,No,Available
18404,"PUYALLUP, WA",2403,WM Supercenter,Retail,1,310 31ST AVE SE,PUYALLUP,PIERCE,WA,98374-1232,5,Open,,Y,Y,2403,No,Available,No,Available
18405,"SAN ANTONIO, TX",2404,WM Supercenter,Retail,1,8500 JONES MALTSBERGER RD,SAN ANTONIO,BEXAR,TX,78216-5913,5,Open,,Y,Y,2404,No,,No,
18406,"HAMBURG, NY",2405,WM Supercenter,Retail,1,5360 SOUTHWESTERN BLVD,HAMBURG,ERIE,NY,14075-3596,5,Open,,Y,Y,2405,No,Available,No,Available
18407,DELRAY SOUTH FL,2406,Neighborhood Market,Retail,1,3155 SOUTH FEDERAL HIGHWAY,DELRAY BEACH,PALM BEACH,FL,33483-0000,2,Open,,Y,Y,2406,No,,No,
18409,"TARPON SPRINGS, FL",2408,WM Supercenter,Retail,1,7 TARPON SPRINGS AVE,TARPON SPRINGS,PINELLAS,FL,34689-0000,0,Open,,Y,Y,2408,,,,
18411,Pleasant Grove.,241,Walmart Fuel Station,Retail,1,4206 S PLEASANT CROSSING BLVD,ROGERS,BENTON,AR,72758-1345,2,Open,,Y,Y,241,No,,No,
18414,"ELLICOTT CITY, MD",2412,WM Supercenter,Retail,1,3200 NORTH RIDGE RD,ELLICOTT CITY,HOWARD,MD,21043-3363,5,Open,,Y,Y,2412,No,,No,
18416,CARY HARRISON NC,2414,Neighborhood Market,Retail,1,973 N HARRISON AVE,CARY,WAKE,NC,27513-3904,2,Open,,Y,Y,2414,No,Not Available,No,Not Available
18419,"PETOSKEY, MI",2417,WM Supercenter,Retail,1,1850 ANDERSON RD,PETOSKEY,EMMET,MI,49770-8893,5,Open,,Y,Y,2417,No,,No,
18420,PLACERVILLE CA,2418,Wal-Mart,Retail,1,4300 MISSOURI FLAT RD,PLACERVILLE,EL DORADO,CA,95667-6811,2,Open,,Y,Y,2418,No,,No,
18421,"REHOBOTH BEACH, DE",2419,Wal-Mart,Retail,1,18922 REHOBOTH MALL BLVD,REHOBOTH BEACH,SUSSEX,DE,19971-6132,2,Open,,Y,Y,2419,No,,No,
18422,PAOLA KS.,242,WM Supercenter,Retail,1,310 HEDGE LN,PAOLA,MIAMI,KS,66071-1887,5,Open,,Y,Y,242,No,,No,Available
18423,"BELLE VERNON, PA",2420,WM Supercenter,Retail,1,100 SARA WAY,BELLE VERNON,FAYETTE,PA,15012-1963,2,Open,,Y,Y,2420,No,Available,No,Available
18424,"ST CROIX FALLS, WI",2421,WM Supercenter,Retail,1,2212 GLACIER DR,SAINT CROIX FALLS,POLK,WI,54024-8347,5,Open,,Y,Y,2421,No,,No,Available
18425,"ST HELENS, OR",2422,Wal-Mart,Retail,1,2295 GABLE RD,SAINT HELENS,COLUMBIA,OR,97051-3005,2,Open,,Y,Y,2422,No,,No,
18426,CAROLINA (RACETRACK) PR,2423,WM Supercenter,Retail,1,PARQUE ESCORIAL,CAROLINA,CAGAUS,PR,00987-0000,5,Open,,Y,Y,2423,,,,
18427,"TICONDEROGA, NY",2424,WM Supercenter,Retail,1,1134 WICKER ST,TICONDEROGA,ESSEX,NY,12883-3103,2,Open,,Y,Y,2424,No,,No,
18428,COLLINSVILLE BELT LINE IL,2425,Neighborhood Market,Retail,1,1101 BELT LINE RD,COLLINSVILLE,MADISON,IL,62234-4368,2,Open,,Y,Y,2425,No,,No,Available
18429,"COLUMBUS (SW), OH",2426,WM Supercenter,Retail,1,5200 WEST POINTE PLAZA,COLUMBUS,FRANKLIN,OH,43228-9126,5,Open,,Y,Y,2426,No,Available,Yes,Available
18430,"DALLAS, TX",2427,WM Supercenter,Retail,1,9301 FOREST LN,DALLAS,DALLAS,TX,75243-8982,5,Open,,Y,Y,2427,No,Available,No,Available
